task_id,workload,crp_id,node_id,crp_type,fraction,price,payment,cost,crp_profit
task_24,0.423172,crp_8,node_8,price_setting,0.068061,15229.110792,12.633154,11.351317,1.281836
task_24,0.423172,crp_11,node_11,price_setting,0.0652,15749.603186,11.989587,10.72644,1.263148
task_24,0.423172,crp_16,node_16,price_setting,0.061948,16625.849388,11.425496,10.148581,1.276915
task_24,0.423172,crp_18,node_18,price_setting,0.060913,16979.408851,11.281727,9.992257,1.28947
task_24,0.423172,crp_19,node_19,price_setting,0.06071,17156.848239,11.323693,10.01512,1.308573
task_24,0.423172,crp_20,node_20,price_setting,0.060217,17334.718174,11.256181,9.941234,1.314947
task_24,0.423172,crp_23,node_23,price_setting,0.05829,17870.958629,10.873488,9.562392,1.311096
task_24,0.423172,crp_25,node_25,price_setting,0.057227,18230.638148,10.691337,9.375615,1.315721
task_24,0.423172,crp_29,node_29,price_setting,0.054794,18955.23757,10.191228,8.886786,1.304442
task_25,0.984086,crp_3,node_3,price_setting,0.072689,14371.815126,73.539206,66.552767,6.986439
task_25,0.984086,crp_5,node_5,price_setting,0.072211,14713.987381,74.302042,67.047718,7.254324
task_25,0.984086,crp_8,node_8,price_setting,0.069662,15230.436556,71.575433,64.307358,7.268075
task_25,0.984086,crp_11,node_11,price_setting,0.066538,15750.798564,67.53178,60.41247,7.11931
task_25,0.984086,crp_16,node_16,price_setting,0.063234,16626.910682,64.383946,57.184736,7.19921
task_25,0.984086,crp_18,node_18,price_setting,0.062236,16980.430343,63.693851,56.410425,7.283426
task_25,0.984086,crp_19,node_19,price_setting,0.062139,17157.86392,64.15863,56.741061,7.417569
task_25,0.984086,crp_20,node_20,price_setting,0.061666,17335.715264,63.840043,56.379006,7.461038
task_25,0.984086,crp_23,node_23,price_setting,0.059651,17871.881838,61.58473,54.156213,7.428517
task_25,0.984086,crp_25,node_25,price_setting,0.058582,18231.522661,60.592257,53.132938,7.459318
task_25,0.984086,crp_29,node_29,price_setting,0.056022,18956.035121,57.614472,50.237905,7.376567
task_26,0.687005,crp_3,node_3,price_setting,0.069633,14370.829147,32.887214,29.764875,3.122339
task_26,0.687005,crp_5,node_5,price_setting,0.068527,14713.006271,32.609273,29.427497,3.181776
task_26,0.687005,crp_8,node_8,price_setting,0.066206,15229.535098,31.506938,28.309265,3.197673
task_26,0.687005,crp_11,node_11,price_setting,0.063728,15749.994742,30.189929,27.008636,3.181293
